Field,Method,Parameter,P density %,Setup ms,Total ms,Cycles
continuous,geometric,P_G,1.3950,4.218,43.629,87
continuous,local-energy,layers=2,6.0922,61.634,114.611,86
continuous,local-energy,layers=3,12.5471,142.231,199.178,86
continuous,local-energy,layers=4,20.5466,271.560,346.589,86
continuous,global-energy,layers=inf,95.7222,1744.830,1979.923,86
channel,geometric,P_G,1.3950,1.516,6133.290,16142
channel,local-energy,layers=2,6.0922,90.965,2767.845,4768
channel,local-energy,layers=3,12.5471,179.230,3098.187,4262
channel,local-energy,layers=4,20.5466,384.787,3245.251,3742
channel,global-energy,layers=inf,97.8420,2306.043,8587.365,2416
checker,geometric,P_G,1.3950,1.442,6154.071,16392
checker,local-energy,layers=2,6.0922,75.971,685.850,1475
checker,local-energy,layers=3,12.5471,184.507,328.809,217
checker,local-energy,layers=4,20.5466,315.108,501.694,217
checker,global-energy,layers=inf,96.9969,1886.739,2469.773,217
